City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
419,Dawlatabad,AF,81.97,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
420,Zhicheng,CN,76.06,light rain,30.2956,111.5047,Wangjiang Building
421,San Cristobal,VE,80.78,broken clouds,7.7669,-72.225,Posada Villaven C.A.
422,Leighton Buzzard,GB,76.89,scattered clouds,51.9172,-0.658,The Barn
424,Port-Gentil,GA,75.16,broken clouds,-0.7193,8.7815,Fengshui Residence
426,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,K2 Lembeh
427,Sibolga,ID,75.25,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
430,Komsomolskiy,UZ,81.32,broken clouds,40.4272,71.7189,Ikathouse
434,Sao Miguel Do Araguaia,BR,85.5,clear sky,-13.275,-50.1628,Hotel Executivo Palace
437,Cayenne,GF,86.04,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
439,Linguere,SN,88.95,broken clouds,15.3953,-15.1193,AYO Casablanca
440,Manokwari,ID,77.04,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
441,Palasbari,IN,78.08,overcast clouds,26.1361,91.5486,Hotel Kings Castle
446,San Matias,BO,76.95,clear sky,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
447,Hun,LY,84.38,clear sky,29.1268,15.9477,Alrwasi Hotel
449,Mongo,TD,76.68,light rain,12.1844,18.693,Résidences du Programme FIDA
450,Roseburg,US,85.75,clear sky,43.2165,-123.3417,"Holiday Inn Express Roseburg, an IHG Hotel"
451,Mount Pleasant,US,87.1,clear sky,32.7941,-79.8626,Best Western Patriots Point
452,Mapimi,MX,89.17,clear sky,25.8167,-103.85,Propiedad Lldm
453,Waterloo,CA,85.64,haze,43.4668,-80.5164,Comfort Inn
455,Marquette,US,86.36,scattered clouds,46.5333,-87.6335,Al Quaal Lodge
460,Petrolina,BR,89.65,clear sky,-9.3986,-40.5008,JB Hotel
462,San Andres,CO,86.02,few clouds,12.5847,-81.7006,Hotel Arena Blanca
464,Honiara,SB,78.08,overcast clouds,-9.4333,159.95,Heritage Park Hotel
465,Marsa Matruh,EG,80.8,clear sky,31.3525,27.2453,Beau Site
469,Kudahuvadhoo,MV,83.03,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
477,Malihabad,IN,80.51,light rain,26.9167,80.7167,Maharaja nursery
479,Balikpapan,ID,76.98,few clouds,-1.2675,116.8289,ibis Balikpapan
482,Tomakomai,JP,75.16,scattered clouds,42.6369,141.6033,Hotel Wing International Tomakomai
484,Luorong,CN,78.17,overcast clouds,24.4058,109.6086,荣立大酒店
486,Kismayo,SO,76.82,broken clouds,-0.3582,42.5454,Agan-Hotel
488,Amahai,ID,76.37,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
491,Upata,VE,79.2,broken clouds,8.0086,-62.3989,Posada Villa Nela
493,Kutum,SD,75.18,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
494,Alta Floresta,BR,89.42,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
495,Touros,BR,76.1,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
499,Jalu,LY,83.37,clear sky,29.0331,21.5482,صاحبة الفخامة
500,Flagstaff,US,84.88,thunderstorm,35.1981,-111.6513,Drury Inn & Suites Flagstaff
501,Kavaratti,IN,82.08,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
504,Ibra,OM,83.79,broken clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
505,Puerto Cabezas,NI,82.36,scattered clouds,14.0351,-83.3888,Cabaña Caribe
506,Amanganj,IN,82.67,light rain,24.4333,80.0333,Matki Choraha
508,Cayhagan,PH,80.13,overcast clouds,9.6697,122.4256,Melrose Beach Resort
509,Matara,LK,79.54,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
515,Praya,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
518,Dhidhdhoo,MV,82.74,broken clouds,6.8833,73.1,Dhidhoo beach
519,Ranong,TH,79.61,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
521,Segovia,ES,81.82,clear sky,41.1667,-4.0,Complejo de turismo Rural A Toca
526,Dzilam Gonzalez,MX,86.77,broken clouds,21.2833,-88.9333,posadas
527,La Ciotat,FR,81.37,clear sky,43.1748,5.6045,ibis La Ciotat
531,Along,IN,75.36,overcast clouds,28.1667,94.7667,Hotel West
535,Salinopolis,BR,78.8,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
537,Hambantota,LK,80.67,overcast clouds,6.1241,81.1185,Bungalow 63
538,Karangampel,ID,78.1,few clouds,-6.4622,108.4519,ROOFTOP WAG ALL
541,Port Blair,IN,80.92,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
545,Assiniboia,CA,87.71,overcast clouds,49.6334,-105.9845,Canalta Hotel Assiniboia
549,Hoi An,VN,82.36,light rain,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
551,Nishihara,JP,78.08,light rain,26.1842,127.7558,Minshuku Agaihama
556,La Carolina,ES,81.23,clear sky,38.2756,-3.6153,NH La Perdiz
558,Shenjiamen,CN,79.72,scattered clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
559,Mabaruma,GY,79.03,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
563,Fare,PF,78.3,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
564,Quartucciu,IT,78.01,clear sky,39.2519,9.1794,HINTERLAND HOTEL
565,Namie,JP,75.78,scattered clouds,37.4833,141.0,いこいの村なみえ
567,Babu,CN,76.69,overcast clouds,24.4167,111.5167,IU Hotel Hezhou Bus Terminal
568,Durham,US,78.26,overcast clouds,36.0335,-78.8664,Hampton Inn & Suites Durham/North I-85
572,Porto Walter,BR,82.2,few clouds,-8.2686,-72.7439,Secretaria de saúde
573,Alexandria,EG,82.94,clear sky,31.2156,29.9553,Royal Crown Hotel
576,Muncar,ID,75.74,scattered clouds,-8.4333,114.3333,Zaky Homestay
577,Tateyama,JP,82.02,clear sky,34.9833,139.8667,Tateyama Seaside Hotel
578,Itoman,JP,78.82,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
579,Fenelon Falls,CA,82.09,broken clouds,44.5334,-78.7496,Road 121 Motel
592,Fatehabad,IN,80.76,overcast clouds,29.5167,75.45,Duke Hotel & Restaurant
594,Mecca,SA,89.71,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
595,Mangrol,IN,82.69,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
600,Gurupa,BR,83.41,broken clouds,-1.405,-51.64,Residencial DWD
601,Sirjan,IR,79.03,clear sky,29.452,55.6814,MAPNA Building
606,Kokopo,PG,76.69,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
