City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
258,Pecos,US,2021-07-14 04:22:31,31.4229,-103.4932,82.31,47,1,14.97
259,Bismarck,US,2021-07-14 04:18:01,46.8083,-100.7837,73.24,58,1,5.01
260,Valparaiso,CL,2021-07-14 04:20:51,-33.0393,-71.6273,52.48,79,0,2.3
261,Arrentela,PT,2021-07-14 04:22:32,38.6167,-9.1,63.64,86,20,13.8
262,Razdolnoye,RU,2021-07-14 04:22:32,43.55,131.9167,73.81,67,73,14.34
263,Coahuayana,MX,2021-07-14 04:18:23,18.7333,-103.6833,79.14,89,98,2.59
264,Genhe,CN,2021-07-14 04:22:32,50.7833,121.5167,69.28,99,100,9.04
265,Ishigaki,JP,2021-07-14 04:22:33,24.3448,124.1572,89.73,70,40,11.5
266,Sontra,DE,2021-07-14 04:22:33,51.0667,9.9333,64.13,95,100,6.8
267,Angoche,MZ,2021-07-14 04:22:33,-16.2325,39.9086,68.59,91,7,3.06
268,Nikel,RU,2021-07-14 04:22:34,69.4128,30.222,53.78,92,100,12.77
269,Roebourne,AU,2021-07-14 04:22:34,-20.7833,117.1333,77.56,50,100,9.44
270,Luderitz,NA,2021-07-14 04:17:50,-26.6481,15.1594,51.76,43,0,5.55
271,Saint-Pierre,RE,2021-07-14 04:22:34,-21.3393,55.4781,69.44,56,0,4.61
272,Faanui,PF,2021-07-14 04:17:19,-16.4833,-151.75,79.75,76,9,18.3
273,Vila,PT,2021-07-14 04:22:35,42.0304,-8.1588,52.34,87,18,5.37
274,Ewa Beach,US,2021-07-14 04:17:42,21.3156,-158.0072,84.15,63,1,15.01
275,Batagay,RU,2021-07-14 04:22:35,67.6333,134.6333,78.98,30,56,9.84
276,Port Pirie,AU,2021-07-14 04:22:35,-33.1833,138.0167,69.89,52,10,15.86
277,Verkhoyansk,RU,2021-07-14 04:22:35,67.5447,133.385,79.97,33,68,10.27
278,Opuwo,NA,2021-07-14 04:17:42,-18.0607,13.84,52.0,36,0,9.6
279,Lodja,CD,2021-07-14 04:22:36,-3.4833,23.4333,60.87,40,1,1.63
280,Buin,CL,2021-07-14 04:22:36,-33.7333,-70.75,51.06,77,0,1.5
281,Maraa,BR,2021-07-14 04:22:36,-1.8333,-65.3667,71.69,99,99,1.72
282,Tilichiki,RU,2021-07-14 04:17:30,60.4667,166.1,59.41,78,95,6.73
283,Tipuani,BO,2021-07-14 04:22:37,-15.5648,-68.0185,70.84,77,90,1.61
284,Esperance,AU,2021-07-14 04:17:17,-33.8667,121.9,60.96,61,43,25.55
285,Acapulco,MX,2021-07-14 04:22:37,16.8634,-99.8901,80.91,86,100,5.95
286,Almirante,PA,2021-07-14 04:22:37,9.3,-82.4,78.51,87,75,3.15
287,Zhuhai,CN,2021-07-14 04:22:38,22.2769,113.5678,94.78,70,20,10.36
288,Log,RU,2021-07-14 04:20:16,49.4844,43.8613,75.22,44,0,6.02
289,Along,IN,2021-07-14 04:22:38,28.1667,94.7667,78.26,96,100,1.54
290,Ulagan,RU,2021-07-14 04:22:38,50.6321,87.9563,75.2,33,49,1.79
291,Ponta Do Sol,PT,2021-07-14 04:17:19,32.6667,-17.1,70.43,74,0,6.2
292,Kruisfontein,ZA,2021-07-14 04:18:39,-34.0033,24.7314,41.88,73,41,7.78
293,Puttur,IN,2021-07-14 04:22:39,12.7667,75.2167,75.31,88,100,5.79
294,Barcelos,PT,2021-07-14 04:22:39,41.5388,-8.6151,62.92,90,3,4.12
295,Meulaboh,ID,2021-07-14 04:16:49,4.1363,96.1285,81.63,77,43,2.84
