City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
124,Aripuana,BR,-9.1667,-60.6333,88.36,36,0,3.36,clear sky
125,Jizan,SA,17.3333,42.6667,90.54,55,100,7.2,overcast clouds
126,Ribeira Grande,PT,38.5167,-28.7,72.0,83,40,17.27,scattered clouds
127,Cape Town,ZA,-33.9258,18.4232,53.11,90,75,1.99,light rain
128,Clyde River,CA,70.4692,-68.5914,41.23,75,90,5.75,overcast clouds
129,Lata,PT,40.1629,-8.3327,66.04,97,16,3.83,few clouds
130,Okakarara,NA,-20.5833,17.4333,50.13,31,0,7.49,clear sky
131,Villa Carlos Paz,AR,-31.4241,-64.4978,63.68,35,0,14.0,clear sky
132,Roebourne,AU,-20.7833,117.1333,67.98,53,78,4.59,broken clouds
133,Barreirinhas,BR,-2.7469,-42.8264,78.75,78,62,7.58,broken clouds
134,Vanavara,RU,60.34,102.2797,56.35,75,86,4.74,light rain
135,Yar-Sale,RU,66.8333,70.8333,51.31,78,42,9.57,scattered clouds
136,Surt,LY,31.2089,16.5887,79.25,68,0,9.69,clear sky
137,Cherskiy,RU,68.75,161.3,55.24,50,100,9.66,overcast clouds
138,Bathsheba,BB,13.2167,-59.5167,84.81,74,20,23.02,few clouds
139,Saint George,US,37.1041,-113.5841,98.38,31,1,4.0,clear sky
140,Berbera,SO,10.4396,45.0143,91.31,39,100,23.47,overcast clouds
141,Hare Bay,CA,48.8499,-54.0148,81.75,47,100,12.03,overcast clouds
142,Chapais,CA,49.7834,-74.8492,65.98,80,74,9.64,broken clouds
143,Powell River,CA,49.8496,-124.5361,82.04,60,20,5.75,few clouds
144,Kumluca,TR,36.3703,30.2869,79.07,54,0,3.83,clear sky
145,Ermelo,ZA,-26.5333,29.9833,39.13,25,0,4.38,clear sky
146,Nanortalik,GL,60.1432,-45.2371,43.7,98,100,9.95,overcast clouds
147,La Grande,US,45.3246,-118.0877,96.03,17,100,5.3,overcast clouds
148,Lompoc,US,34.6391,-120.4579,92.21,61,1,16.11,mist
149,Nome,US,64.5011,-165.4064,59.16,93,100,10.49,overcast clouds
150,Codrington,AU,-38.2667,141.9667,48.67,96,100,11.65,light rain
151,Saint-Denis,FR,48.9167,2.3333,77.49,62,0,5.75,clear sky
152,Lohardaga,IN,23.4333,84.6833,77.18,84,100,5.84,overcast clouds
153,Brunico,IT,46.7958,11.9364,66.09,80,3,2.68,clear sky
154,Kathu,TH,7.9178,98.3332,86.7,71,96,13.78,overcast clouds
155,Sarangani,PH,5.4033,125.4636,83.57,75,91,9.98,overcast clouds
156,Agadez,NE,19.75,10.25,91.44,16,24,1.12,few clouds
157,Victoria,HK,22.2855,114.1577,80.65,93,94,5.99,light rain
158,Toamasina,MG,-18.1667,49.3833,68.0,94,75,8.05,light rain
159,Flinders,AU,-34.5833,150.8552,51.19,68,3,8.99,clear sky
160,Mumford,GH,5.2618,-0.759,75.76,86,39,11.81,scattered clouds
161,Kedrovyy,RU,56.1667,91.8167,57.61,96,60,2.71,broken clouds
162,Berlevag,NO,70.8578,29.0864,46.2,81,75,2.3,moderate rain
163,Oktyabrskiy,RU,54.4815,53.471,68.0,67,20,2.48,few clouds
164,Fairbanks,US,64.8378,-147.7164,76.6,48,1,0.0,clear sky
165,Karratha,AU,-20.7377,116.8463,67.84,59,89,4.38,overcast clouds
166,Eyrarbakki,IS,63.863,-21.1481,58.21,81,47,11.72,scattered clouds
167,Northam,GB,51.0333,-4.2167,72.39,85,0,0.76,clear sky
168,Belaya Gora,RU,68.5333,146.4167,57.6,54,100,6.2,overcast clouds
169,Sao Filipe,CV,14.8961,-24.4956,75.02,85,23,8.28,few clouds
170,Kharp,RU,66.8014,65.8081,56.48,80,100,2.21,overcast clouds
171,Bengkulu,ID,-3.8004,102.2655,74.98,90,77,5.19,broken clouds
172,Kippen,GB,56.1268,-4.1709,65.59,78,9,2.39,clear sky
173,Taltal,CL,-25.4,-70.4833,61.95,75,26,7.31,scattered clouds
174,Khanpur,PK,28.6453,70.6567,89.44,63,98,20.07,overcast clouds
175,Vung Tau,VN,10.346,107.0843,80.13,84,100,14.29,overcast clouds
176,Tiarei,PF,-17.5333,-149.3333,78.82,81,100,25.3,overcast clouds
177,Vestmanna,FO,62.1564,-7.1664,49.12,93,90,11.5,overcast clouds
178,Miraflores,MX,19.2167,-98.8083,77.04,52,57,1.79,broken clouds
179,Semey,KZ,50.4111,80.2275,64.47,61,95,7.31,overcast clouds
180,Niquero,CU,20.0431,-77.5828,86.38,68,48,5.1,scattered clouds
181,Portland,US,45.5234,-122.6762,89.29,37,0,1.01,clear sky
182,Ponta Delgada,PT,37.7333,-25.6667,70.52,88,40,12.66,scattered clouds
